Year,Excess YPLL Rate,Excess YPLL Number,shortname
2008,-1.866617142666399,-2522.15647027827,"Skin and Subcutaneous
Tissue"
2009,-4.982875053803983,-7326.206037365504,"Skin and Subcutaneous
Tissue"
2010,2.1694247308171377,2804.688306546946,"Skin and Subcutaneous
Tissue"
2011,-3.253759698240252,-4590.966887479562,"Skin and Subcutaneous
Tissue"
2012,-4.368377796843209,-6216.721398181934,"Skin and Subcutaneous
Tissue"
2013,-5.0985864506797896,-7729.104899864413,"Skin and Subcutaneous
Tissue"
2014,-2.3555357157592702,-3352.6653599759034,"Skin and Subcutaneous
Tissue"
2015,0.05607376502804584,74.44513752533936,"Skin and Subcutaneous
Tissue"
2016,-2.9631580636002752,-3966.9262871710953,"Skin and Subcutaneous
Tissue"
2017,-2.2704708699793237,-3123.358289884024,"Skin and Subcutaneous
Tissue"
2018,-2.326297008636466,-3149.823201450849,"Skin and Subcutaneous
Tissue"
2019,0.9104171723406368,1338.5222478109904,"Skin and Subcutaneous
Tissue"
2020,-3.523193156622426,-5284.097497942226,"Skin and Subcutaneous
Tissue"
2021,-6.9241873460690115,-10565.232971243378,"Skin and Subcutaneous
Tissue"
2022,-6.77076632809554,-10184.248578650886,"Skin and Subcutaneous
Tissue"
2000,-62.71705110022411,-84591.22070188931,"MSK and Connective
Tissue"
2001,-65.42258439715312,-89354.60737207643,"MSK and Connective
Tissue"
2002,-64.19030818861759,-88531.70633832166,"MSK and Connective
Tissue"
2003,-63.410012507633056,-88176.35214469672,"MSK and Connective
Tissue"
2004,-63.55691577831482,-89231.79394302775,"MSK and Connective
Tissue"
2005,-59.22592176641122,-83926.40219066387,"MSK and Connective
Tissue"
2006,-59.45837802293467,-85062.97264764273,"MSK and Connective
Tissue"
2007,-54.57650550792361,-78781.62340426192,"MSK and Connective
Tissue"
2008,-52.63620019109058,-76700.04500379403,"MSK and Connective
Tissue"
2009,-50.2437364061236,-73872.20450517519,"MSK and Connective
Tissue"
2010,-47.238997201851376,-69903.02614606323,"MSK and Connective
Tissue"
2011,-44.31864449885192,-66191.2623460317,"MSK and Connective
Tissue"
2012,-39.80323468497903,-56644.73914362033,"MSK and Connective
Tissue"
2013,-42.4232837933358,-64310.76805448547,"MSK and Connective
Tissue"
2014,-37.62573107204069,-57495.789725688126,"MSK and Connective
Tissue"
2015,-36.032942067839286,-55497.88872841429,"MSK and Connective
Tissue"
2016,-35.43082379328956,-54855.27761504394,"MSK and Connective
Tissue"
2017,-29.609573809008452,-46224.48278917879,"MSK and Connective
Tissue"
2018,-35.097517736299494,-55045.009785608265,"MSK and Connective
Tissue"
2019,-26.91382485017725,-42347.75122091207,"MSK and Connective
Tissue"
2020,-25.02743971697089,-39526.67846918179,"MSK and Connective
Tissue"
2021,-25.7665014366802,-41326.19518575755,"MSK and Connective
Tissue"
2022,-19.705503010994107,-31748.88750146413,"MSK and Connective
Tissue"
2000,24.797958971812193,33446.8790152263,Genitourinary
2001,19.32863054710623,26399.17406949388,Genitourinary
2002,25.368924775508503,34988.992290623566,Genitourinary
2003,29.873453944935704,41541.26597136285,Genitourinary
2004,27.610567904664265,38764.318182343086,Genitourinary
2005,29.222586139761972,41410.01852347521,Genitourinary
2006,31.60760828969177,45218.81034774238,Genitourinary
2007,27.176077828691973,39228.886297861056,Genitourinary
2008,38.09834340530881,55515.873926093154,Genitourinary
2009,29.204899010147244,42939.28808940337,Genitourinary
2010,39.377809965675624,58270.24794458279,Genitourinary
2011,33.4970497528513,50028.87685489779,Genitourinary
2012,36.94253779104423,55602.69240459045,Genitourinary
2013,29.355311178297427,44500.62417495582,Genitourinary
2014,32.42640938926229,49550.71868861327,Genitourinary
2015,41.62794278876976,64115.30128554042,Genitourinary
2016,38.05614179563946,58919.8895102365,Genitourinary
2017,40.86174401943498,63790.617026292595,Genitourinary
2018,49.652423432492185,77872.12059427152,Genitourinary
2019,45.91873176697169,72251.15865442301,Genitourinary
2020,50.95375849672985,80472.98691647162,Genitourinary
2021,33.634113719821585,53944.845865127994,Genitourinary
2022,35.21718175765892,56740.817076261046,Genitourinary
2000,1.9805230838991772,1955.3876514792569,Perinatal
